productId,Rating,Date,Feedback_translated,Feedback,,Name,Country,Upvotes,Downvotes,Product Longevity,User Instructions Clarity,Pain Level,Design,Quality,Ease of Installation,Quality of Material,Functionality,User Friendly,Quality of Material,Adaptability To Environment,Versatility,Size Options,Quality of Shine,Usability,Gameplay Experience,Style,Color Options,Value for money,Tech support,Ease of use,Power efficiency,Fit,Packaging ,Brightness,Application scope,Compatibility,Ease of use,Hygiene,Item specification accuracy
1.01E+15,100,18-May-24,Very good packaging well protected but not yet mounted,très bon emballage bien protégé mais pas encore monté,,a***r,FR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,60,29-May-24,"lights are extremely bright, we used 1.2v battery instead of the promoted 1.5v which helped a little but now 2 top lights are not working","lights are extremely bright, we used 1.2v battery instead of the promoted 1.5v which helped a little but now 2 top lights are not working",,Amazon Shopper,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,25-May-24,"I like it very much for my son. It is as the description, you just have to put batteries. Thank you","Me gusto mucho para mi hijo. Es tal cual la descripción, solo hay que ponerle pilas. Gracias ",,R***S,CL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,23-Apr-24,"corresponds to the description, fast delivery, well packaged, recommend…………………………….,…….,,,  xxxxxxcc","corresponds to the description, fast delivery, well packaged, recommend…………………………….,…….,,,  xxxxxxcc",,Amazon Shopper,UA,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,03-May-24,As described. Good quality. Batteries not included. Fast shipping.,As described. Good quality. Batteries not included. Fast shipping.,,J***h,HU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,14-May-24,Works very well and is of good quality,Funciona muy bien y es de buena calidad,,D***v,MX,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,23-May-24,Excellent quality.,Excellent quality.,,Amazon Shopper,HU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,24-May-24,Great!! Fast!!,מעולה!! מהיר!!,,R***n,IL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,17-May-24,"Excellent, my baby loves it, I recommend it to the 100%.","Excelente, a mi bebé le encanta, lo recomiendo al 100%.",,J***a,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,13-May-24,kid likes it a lot. I like it even more because there are no annoying and repeating audio. Just lights and switches. perfect,kid likes it a lot. I like it even more because there are no annoying and repeating audio. Just lights and switches. perfect,,S***g,AE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,17-May-24,"Fast shipment. Good quality. ""Fun, engaging, and durable—perfect for endless playtime!"" My baby loves it ","Fast shipment. Good quality. ""Fun, engaging, and durable—perfect for endless playtime!"" My baby loves it ",,Amazon Shopper,AU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,27-Apr-24,"Professional. Fast delivery, well packaged. All is perfect. Highly recommended!","Professional. Fast delivery, well packaged. All is perfect. Highly recommended!",,R***o,CH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,23-May-24,It's just class! I would play it myself!,это просто класс!Сам бы игрался!,,Amazon Shopper,IL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,16-Apr-24,"Excellent, comes with box. Eye has no sound, I loved it","excelente, viene con cajita. ojo no tiene sonido, me encantó",,a***z,CL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,16-May-24,"Arrived in a short time, everything is very good","llegó en poco tiempo, todo viene muy bien",,A***a,MX,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,25-May-24,All good thanks,All good thanks,,B***n,HU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,18-Apr-24,Works well and is strong enough,Funciona bien y es suficientemente resistente,,J***t,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,23-May-24,polecam,polecam,,M***a,PL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,12-May-24,Baby loves this,Baby loves this,,T***M,CA,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,16-May-24,Amusing,divertido,,Amazon Shopper,MX,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,14-May-24,It's great! I recommend it!,super jest! polecam!,,E***r,PL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,09-May-24,ok,ok,,Amazon Shopper,PL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,24-Apr-24,Send in a box,Send in a box,,Amazon Shopper,NL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,23-Apr-24,Super. only without sound,супер.только без звука ,,S***a,IL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,14-Apr-24,"Great value, well packaged.","Great value, well packaged.",,L***y,UK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,20,20-May-24,I have not received the product.,nie otrzymałam produktu.,,S***r,PL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,20,09-May-24,Item never received:/,Article jamais reçus :/ ,,s***r,FR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,28-May-24,Super entertaining for children. I didn't sound if,super entretenido para los niños. le falto sonido si,,r***a,CL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,28-May-24,Perfect,perfeito,,L***S,BR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,26-May-24,,,,Amazon Shopper,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,29-Mar-24,,,,M***i,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,07-May-24,,,,m***n,CL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,07-May-24,,,,n***n,PL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,16-Apr-24,,,,Z***n,CA,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,10-Apr-24,,,,M***g,DE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,09-Apr-24,,,,l***r,FR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,17-Apr-24,,,,z***c,DE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,15-May-24,,,,P***n,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,09-May-24,,,,A***h,IL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,14-Apr-24,,,,m***n,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,13-May-24,,,,r***r,CL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,15-May-24,,,,Amazon Shopper,HU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,21-May-24,,,,R***z,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,80,02-May-24,,,,Amazon Shopper,DE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,29-May-24,,,,S***i,OM,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,60,23-Apr-24,,,,Amazon Shopper,IT,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,24-Apr-24,,,,J***o,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,01-May-24,,,,R***r,FR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,14-May-24,,,,A***k,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,14-May-24,,,,M***a,IT,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,15-May-24,,,,F***s,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,07-May-24,,,,Amazon Shopper,CZ,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,07-May-24,,,,M***m,HR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,16-May-24,,,,D***a,BG,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,22-May-24,,,,h***s,PE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,24-May-24,,,,M***l,EU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,28-May-24,,,,1***r,PL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,80,15-May-24,,,,G***a,BR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,16-May-24,,,,G***o,CL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,15-May-24,,,,R***e,NL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,05-May-24,,,,N***l,SA,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,02-May-24,,,,T***-,KZ,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,24-Dec-23,"Arrived on the date indicated. In perfect condition, the seller answers your concerns and messages correctly. I hope to enjoy such an excellent product and the best, for a good price!","llegó en la fecha indicada. en perfectas condiciones, el vendedor responde tus inquietudes y mensajes correctamente. espero difrutar de tan excelente producto y lo mejor, por un buen precio!",,O***A,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,22-Mar-24,Just received mines Today Can’t wait to start Comes Brand new in Plastic Wrap Peferct budget For Beginners ��,Just received mines Today Can’t wait to start Comes Brand new in Plastic Wrap Peferct budget For Beginners ��,,T***T,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,19-Mar-24,"Very good, thanks.","Very good, thanks.",,Amazon Shopper,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+15,100,04-Dec-23,Thanks for shipping it asap,Thanks for shipping it asap,,J***m,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
